IV68,PN68,ER33401,ER33402,ER33403,CHRACE,BIOPR97,BIOGPR97,PCRAW97,WICpreg,FDSTMPpreg,AFDCpreg,Q1A21B,Q1A21C,Q1A21F,Q1A21G,Q1A21M,Q1A21Q,Q1A27,Q1A28,WIC97,Q1D4A,Q1D4B,Q1D4C,Q1D4D,Q1D4E,Q1G4,Q1G6,Q1G7,Q1G10,Q1G33A,Q1H12F,Q1H12H,Q1K5B,Q1K10A,HOME97,Q2A2,AGE97,Q3A3,LWRAW97,LW_SS97,PC_SS97,CALRAW97,CAL_SS97,APRAW97,AP_SS97,ER33601,ER33602,ER33603,Q24B2,LWRAW02,LWSS02,PCRAW02,PCSS02,APRAW02,APSS02,AGE02,CHID,read97,read02,mathraw97,math97,math02,readss97,bthord,bthwht,PCID,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCBTHORD,PCBTHWHT,state,ER10008,pcage,pcgender,childnum,homeval,ER11049,AFDC97HD,ER11273,AFDC97WF,ER11600,inherit97,ER11743,Parentspoor,faminc97,hdeduc97,wfeduc97,ER18386,AFDC02HD,ER18698,AFDC02WF,ER19047,INHERIT02,FAMINC02,hdeduc02,wfeduc02,nfa01,nw01,inc97,inc02,inherit,loginc97,loginc02,loginherit97,cloth
18,189,1487,6,38,1,4,0,,,0,,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,18,2,,,,,,,,,,3310,3,30,2,26,87,16,100,22,82,8,18189,,42,,,22,,,1,18173,18,173,18,21,18,173,18,21,99,999,6,6,49,1,4,95274,5,0,0,0,0,0,4,0,55777.97,13,12,5,0,0,0,0,0,48579,13,12,25395,177767,55777.96698,48579.26829,1,10.92913421,10.79095214,0,1
18,185,4261,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,3313,2,20,,,,,,,,,18041,,,,,,,2,0,18185,18,185,18,35,18,185,18,35,99,999,32,4,23,1,2,80703,5,0,0,,0,0,7,0,39230.53,12,13,5,0,0,,0,0,22984,12,13,5485,32404,39230.5296,22983.73984,1,10.57721054,10.04254228,0,1
18,190,5256,2,88,1,2,0,22,0,5,0,1,5,5,5,5,5,1,12,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,19.3,3,7,4,41,,,16,,30,,3258,71,22,,,,,,,,,18191,63,,46,30,,,,1,18190,18,190,18,3,,,,,99,999,32,5,40,1,3,0,5,0,0,,0,0,0,0,45233.92,12,0,5,0,0,,0,0,44923,12,0,1422,1422,45233.9215,44922.76423,1,10.71960256,10.71269994,0,1
18,192,5256,4,83,1,2,0,24,0,5,0,5,5,5,5,5,9,1,12,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,19.3,3,10,6,39,,,17,,30,,0,0,0,,,,,,,,,18192,63,,47,30,,,,1,18190,18,190,18,3,,,,,99,999,32,5,40,1,3,0,5,0,0,,0,0,0,0,45233.92,12,0,5,0,0,,0,0,44923,12,0,1422,1422,45233.9215,44922.76423,1,10.71960256,10.71269994,0,1
22,3,3651,2,20,2,1,2,21,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,1,5,1,1,2,5,5,0,0,22,1,8,3,39,116,113,17,118,28,106,6375,2,20,9,49,100,29,102,34,87,14,22030,60,78,45,28,34,114.5,1,0,22003,22,3,22,174,22,3,22,2,1,995,12,3,34,1,1,89670,5,0,0,0,0,0,3,0,33276.46,13,12,5,0,0,0,0,0,36028,13,12,20824,43172,33276.45608,36028.05691,1,10.4126054,10.49205327,0,1
22,173,3649,1,10,2,2,2,,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,18.9,,,,,,,,,,,6376,1,10,7,51,115,29,107,45,120,13,22031,,80,,,45,,1,1,22173,22,173,,,22,173,,,99,999,12,2,31,2,1,82945,5,0,0,,0,0,0,0,35867.91,14,0,5,0,0,,0,0,34476,14,0,3047,13206,35867.91277,34475.60976,1,10.48759838,10.44800739,0,1
22,175,5098,2,88,2,1,2,,1,5,1,5,5,5,5,5,5,1,12,0,1,1,1,5,5,0,0,0,0,1,0,0,0,0,17,2,5,99,12,,,,,13,,6769,2,20,5,49,118,28,111,38,110,11,22176,,77,13,13,38,,1,1,22175,22,175,22,4,22,175,22,4,99,999,12,3,32,1,1,0,5,0,0,,0,0,0,0,67252.34,12,0,5,0,0,0,0,0,57459,12,14,3251,3251,67252.33645,57459.34959,1,11.11620704,10.95883301,0,1
39,174,1293,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,4,,,,,,,,,,2120,2,20,2,45,141,26,136,32,128,8,39031,,71,,,32,,1,0,39174,39,174,39,30,39,174,39,30,99,999,29,3,26,1,1,0,5,0,0,0,0,0,6,0,36988.79,15,15,5,0,0,0,0,0,50355,15,15,-12698,22856,36988.78505,50355.28455,1,10.51837004,10.82685885,0,1
40,30,5300,2,20,1,2,0,,1,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,5,5,0,2,0,0,0,0,20.7,,5,99,4,77,,,,20,127,3790,1,10,,,,,,,,,40038,,,20,20,,77,2,0,40030,40,30,40,173,,,,,99,999,19,5,26,1,3,53802,5,0,0,0,0,0,4,0,64001.81,13,12,5,0,0,,0,0,75690,14,0,-4876,11377,64001.80685,75689.63415,1,11.06666659,11.2343965,0,1
40,39,5300,5,30,1,1,0,,1,5,0,5,5,5,5,5,5,5,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,3790,5,30,,,,,,,,,40039,,,,,,,3,0,40030,40,30,40,173,,,,,99,999,19,5,26,1,3,53802,5,0,0,0,0,0,4,0,64001.81,13,12,5,0,0,,0,0,75690,14,0,-4876,11377,64001.80685,75689.63415,1,11.06666659,11.2343965,0,1
